m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.2,0.2,0.1,0.1,0.1,-,-,-,-,0.1
생산량,1.1,0.7,1.3,1.5,1.2,1.2,1.9,2.2,2.8,2.8
수입량,0.1,0.3,-,-,-,-,0.1,-,-,0.1
곡물총량,1.4,1.2,1.4,1.7,1.3,1.3,2,2.3,2.8,3
음식소비,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.2,0.2,0.2
분쇄소비,1,0.9,1.1,1.2,1,1.1,1.7,1.9,2,2.2
총소비량,1.2,1.1,1.3,1.6,1.2,1.3,1.9,2.1,2.3,2.4
수출량,-,-,-,-,-,-,-,0.1,0.5,0.5
내년이월,0.2,0.1,0.1,0.1,-,-,-,-,0.1,0.1
