time,close
Jan-14,148
Feb-14,147
Mar-14,145
Apr-14,148
May-14,159
Jun-14,150
Jul-14,132
Aug-14,118
Sep-14,115
Oct-14,104
Nov-14,107
Dec-14,109
Jan-15,110
Feb-15,103
Mar-15,106
Apr-15,106
May-15,105
Jun-15,100
Jul-15,104
Aug-15,96
Sep-15,92
Oct-15,94
Nov-15,93
Dec-15,88
Jan-16,83
Feb-16,87
Mar-16,91
Apr-16,100
May-16,104
Jun-16,114
Jul-16,107
Aug-16,98
Sep-16,95
Oct-16,96
Nov-16,97
Dec-16,95
Jan-17,100
Feb-17,103
Mar-17,102
Apr-17,103
May-17,104
Jun-17,105
Jul-17,110
Aug-17,103
Sep-17,99
Oct-17,93
Nov-17,98
Dec-17,94
Jan-18,100
Feb-18,106
Mar-18,108
Apr-18,112
May-18,117
Jun-18,103
Jul-18,99
Aug-18,98
Sep-18,95
Oct-18,102
Nov-18,105
Dec-18,101
Jan-19,102
Feb-19,106
Mar-19,103
Apr-19,100
May-19,106
Jun-19,125
Jul-19,128
Aug-19,110
Sep-19,103
Oct-19,112
Nov-19,113
Dec-19,111
Jan-20,115
Feb-20,110
Mar-20,101
Apr-20,97
May-20,98
Jun-20,101
Jul-20,102
Aug-20,102
Sep-20,102
Oct-20,102
Nov-20,108
Dec-20,112
Jan-21,125
Feb-21,137
Mar-21,138
Apr-21,154
May-21,195
Jun-21,187
Jul-21,180
Aug-21,169
Sep-21,175
Oct-21,208
Nov-21,224
Dec-21,238
Jan-22,250
Feb-22,249
Mar-22,256
Apr-22,262
May-22,257
Jun-22,259
Jul-22,240
Aug-22,212
Sep-22,180
Oct-22,175
Nov-22,178
Dec-22,179
Jan-23,182
Feb-23,182
Mar-23,182
Apr-23,185
May-23,180
Jun-23,175
Jul-23,172
Aug-23,159
