time,close
Jan-14,434
Feb-14,463
Mar-14,502
Apr-14,519
May-14,465
Jun-14,418
Jul-14,357
Aug-14,364
Sep-14,320
Oct-14,376
Nov-14,388
Dec-14,397
Jan-15,370
Feb-15,393
Mar-15,376
Apr-15,366
May-15,351
Jun-15,422
Jul-15,371
Aug-15,375
Sep-15,387
Oct-15,382
Nov-15,372
Dec-15,358
Jan-16,372
Feb-16,357
Mar-16,351
Apr-16,391
May-16,404
Jun-16,365
Jul-16,334
Aug-16,315
Sep-16,336
Oct-16,354
Nov-16,348
Dec-16,352
Jan-17,359
Feb-17,373
Mar-17,364
Apr-17,366
May-17,372
Jun-17,381
Jul-17,370
Aug-17,357
Sep-17,355
Oct-17,345
Nov-17,355
Dec-17,350
Jan-18,361
Feb-18,382
Mar-18,387
Apr-18,400
May-18,394
Jun-18,359
Jul-18,372
Aug-18,365
Sep-18,356
Oct-18,363
Nov-18,377
Dec-18,375
Jan-19,376
Feb-19,370
Mar-19,356
Apr-19,362
May-19,427
Jun-19,424
Jul-19,400
Aug-19,369
Sep-19,388
Oct-19,390
Nov-19,381
Dec-19,387
Jan-20,381
Feb-20,368
Mar-20,340
Apr-20,320
May-20,325
Jun-20,341
Jul-20,316
Aug-20,357
Sep-20,379
Oct-20,398
Nov-20,426
Dec-20,484
Jan-21,547
Feb-21,547
Mar-21,564
Apr-21,673
May-21,656
May-21,599
Jul-21,547
Aug-21,534
Sep-21,536
Oct-21,568
Nov-21,567
Dec-21,593
Jan-22,626
Feb-22,690
Mar-22,748
Apr-22,813
May-22,753
Jun-22,628
Jul-22,616
Aug-22,670
Sep-22,677
Oct-22,691
Nov-22,667
Dec-22,678
Jan-23,679
Feb-23,630
Mar-23,660
Apr-23,585
May-23,594
Jun-23,488
Jul-23,504
Aug-23,478
Sep-23,476
Oct-23,497
