m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1,1.5,1.4,1.4,0.8,1.4,0.9,1.4,1.3,0.7
생산량,7.1,6.1,7.1,5.7,7.1,5.9,7.2,6.1,5.1,6.4
수입량,0.8,0.8,0.7,0.8,0.8,1.1,0.9,1,1,1.1
곡물총량,8.9,8.4,9.3,7.8,8.8,8.3,9,8.5,7.4,8.2
총소비량,4.1,3.5,4.1,4.2,4.4,4.4,4.7,4.7,4.6,4.8
수출량,3.3,3.4,3.9,2.8,3,3,3,2.6,2,2.3
내년이월,1.5,1.4,1.4,0.8,1.4,0.9,1.4,1.3,0.7,1.1
